lon: -144, lat: -78, elevation: 0.0
lon: -144, lat: -74, elevation: 0.0
lon: -144, lat: -70, elevation: 0.0
lon: -144, lat: -66, elevation: 0.0
lon: -144, lat: -62, elevation: 0.0
lon: -144, lat: -58, elevation: 0.0
lon: -144, lat: -54, elevation: 0.0
lon: -144, lat: -50, elevation: 0.0
lon: -144, lat: -46, elevation: 0.0
lon: -144, lat: -42, elevation: 0.0
lon: -144, lat: -38, elevation: 0.0
lon: -144, lat: -34, elevation: 0.0
lon: -144, lat: -30, elevation: 0.0
lon: -144, lat: -26, elevation: 0.0
lon: -144, lat: -22, elevation: 0.0
lon: -144, lat: -18, elevation: 0.0
lon: -144, lat: -14, elevation: 0.0
lon: -144, lat: -10, elevation: 0.0
lon: -144, lat: -6, elevation: 0.0
lon: -144, lat: -2, elevation: 0.0
lon: -144, lat: 2, elevation: 0.0
lon: -144, lat: 6, elevation: 0.0
lon: -144, lat: 10, elevation: 0.0
lon: -144, lat: 14, elevation: 0.0
lon: -144, lat: 18, elevation: 0.0
lon: -144, lat: 22, elevation: 0.0
lon: -144, lat: 26, elevation: 0.0
lon: -144, lat: 30, elevation: 0.0
lon: -144, lat: 34, elevation: 0.0
lon: -144, lat: 38, elevation: 0.0
lon: -144, lat: 42, elevation: 0.0
lon: -144, lat: 46, elevation: 0.0
lon: -144, lat: 50, elevation: 0.0
lon: -144, lat: 54, elevation: 0.0
lon: -144, lat: 58, elevation: 0.0
lon: -144, lat: 62, elevation: 0.0
lon: -144, lat: 66, elevation: 0.0
lon: -144, lat: 70, elevation: 0.0
lon: -144, lat: 74, elevation: 0.0
lon: -144, lat: 78, elevation: 0.0
lon: -144, lat: 82, elevation: 0.0
lon: -144, lat: 86, elevation: 0.0
lon: -144, lat: 90, elevation: 0.0
lon: -140, lat: -90, elevation: 0.0
lon: -140, lat: -86, elevation: 0.0
lon: -140, lat: -82, elevation: 0.0
lon: -140, lat: -78, elevation: 0.0
lon: -140, lat: -74, elevation: 0.0
lon: -140, lat: -70, elevation: 0.0
lon: -140, lat: -66, elevation: 0.0
lon: -140, lat: -62, elevation: 0.0
lon: -140, lat: -58, elevation: 0.0
lon: -140, lat: -54, elevation: 0.0
lon: -140, lat: -50, elevation: 0.0
lon: -140, lat: -46, elevation: 0.0
lon: -140, lat: -42, elevation: 0.0
lon: -140, lat: -38, elevation: 0.0
lon: -140, lat: -34, elevation: 0.0
lon: -140, lat: -30, elevation: 0.0
lon: -140, lat: -26, elevation: 0.0
lon: -140, lat: -22, elevation: 0.0
lon: -140, lat: -18, elevation: 0.0
lon: -140, lat: -14, elevation: 0.0
lon: -140, lat: -10, elevation: 0.0
lon: -140, lat: -6, elevation: 0.0
lon: -140, lat: -2, elevation: 0.0
lon: -140, lat: 2, elevation: 0.0
lon: -140, lat: 6, elevation: 0.0
lon: -140, lat: 10, elevation: 0.0
lon: -140, lat: 14, elevation: 0.0
lon: -140, lat: 18, elevation: 0.0
lon: -140, lat: 22, elevation: 0.0
lon: -140, lat: 26, elevation: 0.0
lon: -140, lat: 30, elevation: 0.0
lon: -140, lat: 34, elevation: 0.0
lon: -140, lat: 38, elevation: 0.0
lon: -140, lat: 42, elevation: 0.0
lon: -140, lat: 46, elevation: 0.0
lon: -140, lat: 50, elevation: 0.0
lon: -140, lat: 54, elevation: 0.0
lon: -140, lat: 58, elevation: 0.0
lon: -140, lat: 62, elevation: 0.0
lon: -140, lat: 66, elevation: 0.0
lon: -140, lat: 70, elevation: 0.0
lon: -140, lat: 74, elevation: 0.0
lon: -140, lat: 78, elevation: 0.0
lon: -140, lat: 82, elevation: 0.0
lon: -140, lat: 86, elevation: 0.0
lon: -140, lat: 90, elevation: 0.0
lon: -136, lat: -90, elevation: 0.0
lon: -136, lat: -86, elevation: 0.0
lon: -136, lat: -82, elevation: 0.0
lon: -136, lat: -78, elevation: 0.0
lon: -136, lat: -74, elevation: 0.0
lon: -136, lat: -70, elevation: 0.0
lon: -136, lat: -66, elevation: 0.0
lon: -136, lat: -62, elevation: 0.0
lon: -136, lat: -58, elevation: 0.0
lon: -136, lat: -54, elevation: 0.0
lon: -136, lat: -50, elevation: 0.0
lon: -136, lat: -46, elevation: 0.0
lon: -136, lat: -42, elevation: 0.0
lon: -136, lat: -38, elevation: 0.0
lon: -136, lat: -34, elevation: 0.0
lon: -136, lat: -30, elevation: 0.0
lon: -136, lat: -26, elevation: 0.0
lon: -136, lat: -22, elevation: 0.0
lon: -136, lat: -18, elevation: 0.0
lon: -136, lat: -14, elevation: 0.0
lon: -136, lat: -10, elevation: 0.0
lon: -136, lat: -6, elevation: 0.0
lon: -136, lat: -2, elevation: 0.0
lon: -136, lat: 2, elevation: 0.0
lon: -136, lat: 6, elevation: 0.0
lon: -136, lat: 10, elevation: 0.0
lon: -136, lat: 14, elevation: 0.0
lon: -136, lat: 18, elevation: 0.0
lon: -136, lat: 22, elevation: 0.0
lon: -136, lat: 26, elevation: 0.0
lon: -136, lat: 30, elevation: 0.0
lon: -136, lat: 34, elevation: 0.0
lon: -136, lat: 38, elevation: 0.0
lon: -136, lat: 42, elevation: 0.0
lon: -136, lat: 46, elevation: 0.0
lon: -136, lat: 50, elevation: 0.0
lon: -136, lat: 54, elevation: 0.0
lon: -136, lat: 58, elevation: 718.0
lon: -136, lat: 62, elevation: 0.0
lon: -136, lat: 66, elevation: 0.0
lon: -136, lat: 70, elevation: 0.0
lon: -136, lat: 74, elevation: 0.0
lon: -136, lat: 78, elevation: 0.0
lon: -136, lat: 82, elevation: 0.0
lon: -136, lat: 86, elevation: 0.0
lon: -136, lat: 90, elevation: 0.0
lon: -132, lat: -90, elevation: 0.0
lon: -132, lat: -86, elevation: 0.0
lon: -132, lat: -82, elevation: 0.0
lon: -132, lat: -78, elevation: 0.0
lon: -132, lat: -74, elevation: 0.0
lon: -132, lat: -70, elevation: 0.0
lon: -132, lat: -66, elevation: 0.0
lon: -132, lat: -62, elevation: 0.0
lon: -132, lat: -58, elevation: 0.0
lon: -132, lat: -54, elevation: 0.0
lon: -132, lat: -50, elevation: 0.0
lon: -132, lat: -46, elevation: 0.0
lon: -132, lat: -42, elevation: 0.0
lon: -132, lat: -38, elevation: 0.0
lon: -132, lat: -34, elevation: 0.0
lon: -132, lat: -30, elevation: 0.0
lon: -132, lat: -26, elevation: 0.0
lon: -132, lat: -22, elevation: 0.0
lon: -132, lat: -18, elevation: 0.0
lon: -132, lat: -14, elevation: 0.0
lon: -132, lat: -10, elevation: 0.0
lon: -132, lat: -6, elevation: 0.0
lon: -132, lat: -2, elevation: 0.0
lon: -132, lat: 2, elevation: 0.0
lon: -132, lat: 6, elevation: 0.0
lon: -132, lat: 10, elevation: 0.0
lon: -132, lat: 14, elevation: 0.0
lon: -132, lat: 18, elevation: 0.0
lon: -132, lat: 22, elevation: 0.0
lon: -132, lat: 26, elevation: 0.0
lon: -132, lat: 30, elevation: 0.0
lon: -132, lat: 34, elevation: 0.0
lon: -132, lat: 38, elevation: 0.0
lon: -132, lat: 42, elevation: 0.0
lon: -132, lat: 46, elevation: 0.0
lon: -132, lat: 50, elevation: 0.0
lon: -132, lat: 54, elevation: 55.0
lon: -132, lat: 58, elevation: 1963.0
lon: -132, lat: 62, elevation: 0.0
lon: -132, lat: 66, elevation: 0.0
lon: -132, lat: 70, elevation: 0.0
lon: -132, lat: 74, elevation: 0.0
lon: -132, lat: 78, elevation: 0.0
lon: -132, lat: 82, elevation: 0.0
lon: -132, lat: 86, elevation: 0.0
lon: -132, lat: 90, elevation: 0.0
lon: -128, lat: -90, elevation: 0.0
lon: -128, lat: -86, elevation: 0.0
lon: -128, lat: -82, elevation: 0.0
lon: -128, lat: -78, elevation: 0.0
lon: -128, lat: -74, elevation: 0.0
lon: -128, lat: -70, elevation: 0.0
lon: -128, lat: -66, elevation: 0.0
lon: -128, lat: -62, elevation: 0.0
lon: -128, lat: -58, elevation: 0.0
lon: -128, lat: -54, elevation: 0.0
lon: -128, lat: -50, elevation: 0.0
lon: -128, lat: -46, elevation: 0.0
lon: -128, lat: -42, elevation: 0.0
lon: -128, lat: -38, elevation: 0.0
lon: -128, lat: -34, elevation: 0.0
lon: -128, lat: -30, elevation: 0.0
lon: -128, lat: -26, elevation: 0.0
lon: -128, lat: -22, elevation: 0.0
lon: -128, lat: -18, elevation: 0.0
lon: -128, lat: -14, elevation: 0.0
lon: -128, lat: -10, elevation: 0.0
lon: -128, lat: -6, elevation: 0.0
lon: -128, lat: -2, elevation: 0.0
lon: -128, lat: 2, elevation: 0.0
lon: -128, lat: 6, elevation: 0.0
lon: -128, lat: 10, elevation: 0.0
lon: -128, lat: 14, elevation: 0.0
lon: -128, lat: 18, elevation: 0.0
lon: -128, lat: 22, elevation: 0.0
lon: -128, lat: 26, elevation: 0.0
lon: -128, lat: 30, elevation: 0.0
lon: -128, lat: 34, elevation: 0.0
lon: -128, lat: 38, elevation: 0.0
lon: -128, lat: 42, elevation: 0.0
lon: -128, lat: 46, elevation: 0.0
lon: -128, lat: 50, elevation: 0.0
lon: -128, lat: 54, elevation: 1670.0
lon: -128, lat: 58, elevation: 1569.0
lon: -128, lat: 62, elevation: 0.0
lon: -128, lat: 66, elevation: 0.0
lon: -128, lat: 70, elevation: 0.0
lon: -128, lat: 74, elevation: 0.0
lon: -128, lat: 78, elevation: 0.0
lon: -128, lat: 82, elevation: 0.0
lon: -128, lat: 86, elevation: 0.0
lon: -128, lat: 90, elevation: 0.0
lon: -124, lat: -90, elevation: 0.0
lon: -124, lat: -86, elevation: 0.0
lon: -124, lat: -82, elevation: 0.0
lon: -124, lat: -78, elevation: 0.0
lon: -124, lat: -74, elevation: 0.0
lon: -124, lat: -70, elevation: 0.0
lon: -124, lat: -66, elevation: 0.0
lon: -124, lat: -62, elevation: 0.0
lon: -124, lat: -58, elevation: 0.0
lon: -124, lat: -54, elevation: 0.0
lon: -124, lat: -50, elevation: 0.0
lon: -124, lat: -46, elevation: 0.0
lon: -124, lat: -42, elevation: 0.0
lon: -124, lat: -38, elevation: 0.0
lon: -124, lat: -34, elevation: 0.0
lon: -124, lat: -30, elevation: 0.0
lon: -124, lat: -26, elevation: 0.0
lon: -124, lat: -22, elevation: 0.0
lon: -124, lat: -18, elevation: 0.0
lon: -124, lat: -14, elevation: 0.0
lon: -124, lat: -10, elevation: 0.0
lon: -124, lat: -6, elevation: 0.0
